Sentence #,Word,NER Label,,
Sentence: 4,Intelligence,I-Designation,,
,,,,
Sentence: 5,Analyst,I-Designation,,
,,,,
Sentence: 6,Business,B-Designation,,
,,,,
Sentence: 7,Intelligence,I-Designation,,
,,,,
Sentence: 8,Analysts,I-Designation,,
,,,,
Sentence: 9,gather,B-Responsibilities,,
,,,,
Sentence: 10,and,O,,
,,,,
Sentence: 11,analyze,I-Responsibilities,,
,,,,
Sentence: 12,data,B-Skills,,
,,,,
Sentence: 13,to,O,,
,,,,
Sentence: 14,provide,B-Responsibilities,,
,,,,
Sentence: 15,valuable,I-Skills,,
,,,,
Sentence: 16,insights,I-Skills,,
,,,,
Sentence: 17,to,O,,
,,,,
Sentence: 18,support,I-Responsibilities,,
,,,,
Sentence: 19,decision-making,I-Skills,,
,,,,
Sentence: 20,within,O,,
,,,,
Sentence: 21,an,O,,
,,,,
Sentence: 22,organization,O,,
,,,,
Sentence: 23,They,O,,
,,,,
Sentence: 24,create,B-Responsibilities,,
,,,,
Sentence: 25,reports,I-Responsibilities,,
,,,,
Sentence: 26,dashboards,I-Responsibilities,,
,,,,
Sentence: 27,and,O,,
,,,,
Sentence: 28,data,I-Skills,,
,,,,
Sentence: 29,visualizations,I-Skills,,
,,,,
Sentence: 30,to,O,,
,,,,
Sentence: 31,help,B-Responsibilities,,
,,,,
Sentence: 32,stakeholders,I-Skills,,
,,,,
Sentence: 33,understand,I-Responsibilities,,
,,,,
Sentence: 34,trends,I-Skills,,
,,,,
Sentence: 35,patterns,I-Skills,,
,,,,
Sentence: 36,and,O,,
,,,,
Sentence: 37,opportunities,I-Skills,,
,,,,
Sentence: 38,in,O,,
,,,,
Sentence: 39,the,O,,
,,,,
Sentence: 40,data,B-Skills,,
,,,,
Sentence: 1,Network,B-Designation,,
,,,,
Sentence: 2,Engineer,I-Designation,,
,,,,
Sentence: 3,Wireless,B-Designation,,
,,,,
Sentence: 4,Network,I-Designation,,
,,,,
Sentence: 5,Engineer,I-Designation,,
,,,,
Sentence: 6,Wireless,B-Designation,,
,,,,
Sentence: 7,Network,I-Designation,,
,,,,
Sentence: 8,Engineers,I-Designation,,
,,,,
Sentence: 9,design,B-Responsibilities,,
,,,,
Sentence: 10,implement,I-Responsibilities,,
,,,,
Sentence: 11,and,O,,
,,,,
Sentence: 12,maintain,I-Responsibilities,,
,,,,
Sentence: 13,wireless,B-Skills,,
,,,,
Sentence: 14,network,I-Skills,,
,,,,
Sentence: 15,solutions,I-Skills,,
,,,,
Sentence: 16,They,O,,
,,,,
Sentence: 17,optimize,B-Responsibilities,,
,,,,
Sentence: 18,wireless,B-Skills,,
,,,,
Sentence: 19,connectivity,I-Skills,,
,,,,
Sentence: 20,troubleshoot,B-Responsibilities,,
,,,,
Sentence: 21,issues,I-Responsibilities,,
,,,,
Sentence: 22,and,O,,
,,,,
Sentence: 23,ensure,B-Responsibilities,,
,,,,
Sentence: 24,reliable,I-Skills,,
,,,,
Sentence: 25,and,O,,
,,,,
Sentence: 26,secure,I-Skills,,
,,,,
Sentence: 27,wireless,I-Skills,,
,,,,
Sentence: 28,communications,I-Skills,,
,,,,
Sentence: 1,Customer,B-Designation,,
,,,,
Sentence: 2,Service,I-Designation,,
,,,,
Sentence: 3,Manager,I-Designation,,
,,,,
Sentence: 4,Service,B-Designation,,
,,,,
Sentence: 5,Quality,I-Designation,,
,,,,
Sentence: 6,Assurance,I-Designation,,
,,,,
Sentence: 7,Manager,I-Designation,,
,,,,
Sentence: 8,Service,B-Designation,,
,,,,
Sentence: 9,Quality,I-Designation,,
,,,,
Sentence: 10,Assurance,I-Designation,,
,,,,
Sentence: 11,Managers,I-Designation,,
,,,,
Sentence: 12,monitor,B-Responsibilities,,
,,,,
Sentence: 13,and,O,,
,,,,
Sentence: 14,evaluate,I-Responsibilities,,
,,,,
Sentence: 15,service,I-Skills,,
,,,,
Sentence: 16,quality,I-Skills,,
,,,,
Sentence: 17,in,O,,
,,,,
Sentence: 18,an,O,,
,,,,
Sentence: 19,organization,O,,
,,,,
Sentence: 20,They,O,,
,,,,
Sentence: 21,develop,B-Responsibilities,,
,,,,
Sentence: 22,quality,I-Skills,,
,,,,
Sentence: 23,standards,I-Skills,,
,,,,
Sentence: 24,conduct,B-Responsibilities,,
,,,,
Sentence: 25,audits,I-Responsibilities,,
,,,,
Sentence: 26,analyze,B-Responsibilities,,
,,,,
Sentence: 27,customer,B-Skills,,
,,,,
Sentence: 28,feedback,I-Skills,,
,,,,
Sentence: 29,and,O,,
,,,,
Sentence: 30,implement,B-Responsibilities,,
,,,,
Sentence: 31,improvements,I-Responsibilities,,
,,,,
Sentence: 32,to,O,,
,,,,
Sentence: 33,ensure,B-Skills,,
,,,,
Sentence: 34,consistent,I-Skills,,
,,,,
Sentence: 35,high-quality,I-Skills,,
,,,,
Sentence: 36,service,I-Skills,,
,,,,
Sentence: 37,delivery,O,,
,,,,
Sentence: 1,Office,B-Designation,,
,,,,
Sentence: 2,Manager,I-Designation,,
,,,,
Sentence: 3,Administrative,B-Designation,,
,,,,
Sentence: 4,Manager,I-Designation,,
,,,,
Sentence: 5,Administrative,B-Designation,,
,,,,
Sentence: 6,Managers,I-Designation,,
,,,,
Sentence: 7,oversee,B-Responsibilities,,
,,,,
Sentence: 8,office,B-Skills,,
,,,,
Sentence: 9,operations,I-Skills,,
,,,,
Sentence: 10,They,O,,
,,,,
Sentence: 11,manage,B-Responsibilities,,
,,,,
Sentence: 12,administrative,I-Skills,,
,,,,
Sentence: 13,staff,I-Skills,,
,,,,
Sentence: 14,coordinate,B-Responsibilities,,
,,,,
Sentence: 15,tasks,I-Responsibilities,,
,,,,
Sentence: 16,and,O,,
,,,,
Sentence: 17,ensure,B-Responsibilities,,
,,,,
Sentence: 18,smooth,I-Skills,,
,,,,
Sentence: 19,office,I-Skills,,
,,,,
Sentence: 20,functioning,I-Skills,,
,,,,
Sentence: 21,to,O,,
,,,,
Sentence: 22,support,B-Responsibilities,,
,,,,
Sentence: 23,the,O,,
,,,,
Sentence: 24,organizations,O,,
,,,,
Sentence: 25,goals,O,,
,,,,
Sentence: 1,Systems,B-Designation,,
,,,,
Sentence: 2,Administrator,I-Designation,,
,,,,
Sentence: 3,Database,B-Designation,,
,,,,
Sentence: 4,Administrator,I-Designation,,
,,,,
Sentence: 5,Database,B-Designation,,
,,,,
Sentence: 6,Administrators,I-Designation,,
,,,,
Sentence: 7,manage,B-Responsibilities,,
,,,,
Sentence: 8,databases,I-Skills,,
,,,,
Sentence: 9,ensuring,B-Responsibilities,,
,,,,
Sentence: 10,data,I-Skills,,
,,,,
Sentence: 11,integrity,I-Skills,,
,,,,
Sentence: 12,security,I-Skills,,
,,,,
Sentence: 13,and,O,,
,,,,
Sentence: 14,efficient,I-Skills,,
,,,,
Sentence: 15,performance,I-Skills,,
,,,,
Sentence: 16,They,O,,
,,,,
Sentence: 17,design,B-Responsibilities,,
,,,,
Sentence: 18,implement,I-Responsibilities,,
,,,,
Sentence: 19,and,O,,
,,,,
Sentence: 20,maintain,I-Responsibilities,,
,,,,
Sentence: 21,databases,I-Skills,,
,,,,
Sentence: 22,while,O,,
,,,,
Sentence: 23,troubleshooting,B-Responsibilities,,
,,,,
Sentence: 24,issues,I-Responsibilities,,
,,,,
Sentence: 1,Substance,B-Designation,,
,,,,
Sentence: 2,Abuse,I-Designation,,
,,,,
Sentence: 3,Counselor,I-Designation,,
,,,,
Sentence: 4,Recovery,B-Designation,,
,,,,
Sentence: 5,Coach,I-Designation,,
,,,,
Sentence: 6,A,O,,
,,,,
Sentence: 7,Recovery,B-Designation,,
,,,,
Sentence: 8,Coach,I-Designation,,
,,,,
Sentence: 9,offers,B-Responsibilities,,
,,,,
Sentence: 10,guidance,B-Skills,,
,,,,
Sentence: 11,and,O,,
,,,,
Sentence: 12,support,I-Skills,,
,,,,
Sentence: 13,to,O,,
,,,,
Sentence: 14,individuals,O,,
,,,,
Sentence: 15,in,O,,
,,,,
Sentence: 16,addiction,B-Skills,,
,,,,
Sentence: 17,recovery,I-Skills,,
,,,,
Sentence: 18,helping,B-Responsibilities,,
,,,,
Sentence: 19,them,O,,
,,,,
Sentence: 20,build,B-Responsibilities,,
,,,,
Sentence: 21,a,O,,
,,,,
Sentence: 22,stable,I-Quality,,
,,,,
Sentence: 23,and,O,,
,,,,
Sentence: 24,fulfilling,I-Quality,,
,,,,
Sentence: 25,life,O,,
,,,,
Sentence: 1,Investment,B-Designation,,
,,,,
Sentence: 2,Analyst,I-Designation,,
,,,,
Sentence: 3,Risk,B-Designation,,
,,,,
Sentence: 4,Analyst,I-Designation,,
,,,,
Sentence: 5,A,O,,
,,,,
Sentence: 6,Risk,B-Designation,,
,,,,
Sentence: 7,Analyst,I-Designation,,
,,,,
Sentence: 8,assesses,B-Responsibilities,,
,,,,
Sentence: 9,and,O,,
,,,,
Sentence: 10,manages,I-Responsibilities,,
,,,,
Sentence: 11,financial,B-Skills,,
,,,,
Sentence: 12,risks,I-Skills,,
,,,,
Sentence: 13,within,O,,
,,,,
Sentence: 14,an,O,,
,,,,
Sentence: 15,organization,O,,
,,,,
Sentence: 16,They,O,,
,,,,
Sentence: 17,use,B-Responsibilities,,
,,,,
Sentence: 18,data,I-Skills,,
,,,,
Sentence: 19,analysis,I-Skills,,
,,,,
Sentence: 20,and,O,,
,,,,
Sentence: 21,modeling,I-Skills,,
,,,,
Sentence: 22,to,O,,
,,,,
Sentence: 23,evaluate,B-Responsibilities,,
,,,,
Sentence: 24,potential,I-Skills,,
,,,,
Sentence: 25,risks,I-Skills,,
,,,,
Sentence: 26,and,O,,
,,,,
Sentence: 27,recommend,I-Responsibilities,,
,,,,
Sentence: 28,mitigation,I-Skills,,
,,,,
Sentence: 29,strategies,I-Skills,,
,,,,
Sentence: 1,Finance,B-Designation,,
,,,,
Sentence: 2,Manager,I-Designation,,
,,,,
Sentence: 3,Treasury,B-Designation,,
,,,,
Sentence: 4,Manager,I-Designation,,
,,,,
Sentence: 5,Treasury,B-Designation,,
,,,,
Sentence: 6,Managers,I-Designation,,
,,,,
Sentence: 7,manage,B-Responsibilities,,
,,,,
Sentence: 8,a,O,,
,,,,
Sentence: 9,companys,O,,
,,,,
Sentence: 10,treasury,B-Skills,,
,,,,
Sentence: 11,operations,I-Skills,,
,,,,
Sentence: 12,They,O,,
,,,,
Sentence: 13,oversee,B-Responsibilities,,
,,,,
Sentence: 14,cash,B-Skills,,
,,,,
Sentence: 15,management,I-Skills,,
,,,,
Sentence: 16,investments,I-Skills,,
,,,,
Sentence: 17,and,O,,
,,,,
Sentence: 18,financial,B-Skills,,
,,,,
Sentence: 19,risk,I-Skills,,
,,,,
Sentence: 20,management,I-Skills,,
,,,,
Sentence: 21,to,O,,
,,,,
Sentence: 22,maintain,B-Responsibilities,,
,,,,
Sentence: 23,liquidity,B-Skills,,
,,,,
Sentence: 24,and,O,,
,,,,
Sentence: 25,financial,B-Skills,,
,,,,
Sentence: 26,stability,I-Skills,,
,,,,
Sentence: 1,Tax,B-Designation,,
,,,,
Sentence: 2,Consultant,I-Designation,,
,,,,
Sentence: 3,International,B-Designation,,
,,,,
Sentence: 4,Tax,I-Designation,,
,,,,
Sentence: 5,Consultant,I-Designation,,
,,,,
Sentence: 6,An,O,,
,,,,
Sentence: 7,International,B-Designation,,
,,,,
Sentence: 8,Tax,I-Designation,,
,,,,
Sentence: 9,Consultant,I-Designation,,
,,,,
Sentence: 10,focuses,B-Responsibilities,,
,,,,
Sentence: 11,on,O,,
,,,,
Sentence: 12,tax,B-Skills,,
,,,,
Sentence: 13,matters,I-Skills,,
,,,,
Sentence: 14,related,O,,
,,,,
Sentence: 15,to,O,,
,,,,
Sentence: 16,international,B-Skills,,
,,,,
Sentence: 17,business,I-Skills,,
,,,,
Sentence: 18,operations,I-Skills,,
,,,,
Sentence: 19,ensuring,B-Responsibilities,,
,,,,
Sentence: 20,compliance,I-Skills,,
,,,,
Sentence: 21,with,O,,
,,,,
Sentence: 22,global,B-Skills,,
,,,,
Sentence: 23,tax,I-Skills,,
,,,,
Sentence: 24,laws,I-Skills,,
,,,,
Sentence: 25,and,O,,
,,,,
Sentence: 26,optimizing,B-Responsibilities,,
,,,,
Sentence: 27,tax,I-Skills,,
,,,,
Sentence: 28,structures,I-Skills,,
,,,,
Sentence: 1,UX/UI,B-Designation,,
,,,,
Sentence: 2,Designer,I-Designation,,
,,,,
Sentence: 3,User,B-Designation,,
,,,,
Sentence: 4,Interface,I-Designation,,
,,,,
Sentence: 5,Designer,I-Designation,,
,,,,
Sentence: 6,User,B-Designation,,
,,,,
Sentence: 7,Interface,I-Designation,,
,,,,
Sentence: 8,Designers,I-Designation,,
,,,,
Sentence: 9,focus,B-Responsibilities,,
,,,,
Sentence: 10,on,O,,
,,,,
Sentence: 11,the,O,,
,,,,
Sentence: 12,visual,B-Skills,,
,,,,
Sentence: 13,and,O,,
,,,,
Sentence: 14,interactive,I-Skills,,
,,,,
Sentence: 15,aspects,I-Skills,,
,,,,
Sentence: 16,of,O,,
,,,,
Sentence: 17,digital,B-Skills,,
,,,,
Sentence: 18,interfaces,I-Skills,,
,,,,
Sentence: 19,They,O,,
,,,,
Sentence: 20,design,B-Responsibilities,,
,,,,
Sentence: 21,layouts,I-Responsibilities,,
,,,,
Sentence: 22,buttons,I-Responsibilities,,
,,,,
Sentence: 23,and,O,,
,,,,
Sentence: 24,other,I-Responsibilities,,
,,,,
Sentence: 25,elements,I-Responsibilities,,
,,,,
Sentence: 26,to,O,,
,,,,
Sentence: 27,ensure,B-Skills,,
,,,,
Sentence: 28,a,O,,
,,,,
Sentence: 29,cohesive,B-Quality,,
,,,,
Sentence: 30,and,O,,
,,,,
Sentence: 31,visually,I-Quality,,
,,,,
Sentence: 32,appealing,I-Quality,,
,,,,
Sentence: 33,user,B-Responsibilities,,
,,,,
Sentence: 34,interface,I-Responsibilities,,
,,,,
Sentence: 1,Public,B-Designation,,
,,,,
Sentence: 2,Relations,I-Designation,,
,,,,
Sentence: 3,Specialist,I-Designation,,
,,,,
Sentence: 4,Crisis,B-Designation,,
,,,,
Sentence: 5,Communication,I-Designation,,
,,,,
Sentence: 6,Manager,I-Designation,,
,,,,
Sentence: 7,Crisis,B-Designation,,
,,,,
Sentence: 8,Communication,I-Designation,,
,,,,
Sentence: 9,Managers,I-Designation,,
,,,,
Sentence: 10,develop,B-Responsibilities,,
,,,,
Sentence: 11,strategies,I-Skills,,
,,,,
Sentence: 12,to,O,,
,,,,
Sentence: 13,manage,B-Responsibilities,,
,,,,
Sentence: 14,and,O,,
,,,,
Sentence: 15,respond,B-Responsibilities,,
,,,,
Sentence: 16,to,O,,
,,,,
Sentence: 17,crises,I-Skills,,
,,,,
Sentence: 18,maintaining,B-Responsibilities,,
,,,,
Sentence: 19,the,O,,
,,,,
Sentence: 20,organizations,O,,
,,,,
Sentence: 21,reputation,B-Skills,,
,,,,
Sentence: 22,during,O,,
,,,,
Sentence: 23,challenging,B-Quality,,
,,,,
Sentence: 24,times,O,,
,,,,
Sentence: 1,Tax,B-Designation,,
,,,,
Sentence: 2,Consultant,I-Designation,,
,,,,
Sentence: 3,International,B-Designation,,
,,,,
Sentence: 4,Tax,I-Designation,,
,,,,
Sentence: 5,Consultant,I-Designation,,
,,,,
Sentence: 6,An,O,,
,,,,
Sentence: 7,International,B-Designation,,
,,,,
Sentence: 8,Tax,I-Designation,,
,,,,
Sentence: 9,Consultant,I-Designation,,
,,,,
Sentence: 10,focuses,B-Responsibilities,,
,,,,
Sentence: 11,on,O,,
,,,,
Sentence: 12,tax,B-Skills,,
,,,,
Sentence: 13,matters,I-Skills,,
,,,,
Sentence: 14,related,O,,
,,,,
Sentence: 15,to,O,,
,,,,
Sentence: 16,international,B-Skills,,
,,,,
Sentence: 17,business,I-Skills,,
,,,,
Sentence: 18,operations,I-Skills,,
,,,,
Sentence: 19,ensuring,B-Responsibilities,,
,,,,
Sentence: 20,compliance,I-Skills,,
,,,,
Sentence: 21,with,O,,
,,,,
Sentence: 22,global,B-Skills,,
,,,,
Sentence: 23,tax,I-Skills,,
,,,,
Sentence: 24,laws,I-Skills,,
,,,,
Sentence: 25,and,O,,
,,,,
Sentence: 26,optimizing,B-Responsibilities,,
,,,,
Sentence: 27,tax,I-Skills,,
,,,,
Sentence: 28,structures,I-Skills,,
,,,,
Sentence: 1,IT,B-Designation,,
,,,,
Sentence: 2,Support,I-Designation,,
,,,,
Sentence: 3,Specialist,I-Designation,,
,,,,
Sentence: 4,IT,B-Designation,,
,,,,
Sentence: 5,Systems,I-Designation,,
,,,,
Sentence: 6,Administrator,I-Designation,,
,,,,
Sentence: 7,IT,B-Designation,,
,,,,
Sentence: 8,Systems,I-Designation,,
,,,,
Sentence: 9,Administrators,I-Designation,,
,,,,
Sentence: 10,manage,B-Responsibilities,,
,,,,
Sentence: 11,and,O,,
,,,,
Sentence: 12,maintain,I-Responsibilities,,
,,,,
Sentence: 13,an,O,,
,,,,
Sentence: 14,organizations,O,,
,,,,
Sentence: 15,IT,B-Skills,,
,,,,
Sentence: 16,infrastructure,I-Skills,,
,,,,
Sentence: 17,including,O,,
,,,,
Sentence: 18,servers,I-Skills,,
,,,,
Sentence: 19,networks,I-Skills,,
,,,,
Sentence: 20,and,O,,
,,,,
Sentence: 21,security,I-Skills,,
,,,,
Sentence: 22,systems,I-Skills,,
,,,,
Sentence: 1,QA,B-Designation,,
,,,,
Sentence: 2,Analyst,I-Designation,,
,,,,
Sentence: 3,Software,B-Designation,,
,,,,
Sentence: 4,QA,I-Designation,,
,,,,
Sentence: 5,Tester,I-Designation,,
,,,,
Sentence: 6,Software,B-Designation,,
,,,,
Sentence: 7,QA,I-Designation,,
,,,,
Sentence: 8,Testers,I-Designation,,
,,,,
Sentence: 9,ensure,B-Responsibilities,,
,,,,
Sentence: 10,the,O,,
,,,,
Sentence: 11,quality,B-Skills,,
,,,,
Sentence: 12,of,O,,
,,,,
Sentence: 13,software,B-Skills,,
,,,,
Sentence: 14,products,O,,
,,,,
Sentence: 15,by,O,,
,,,,
Sentence: 16,designing,B-Responsibilities,,
,,,,
Sentence: 17,and,O,,
,,,,
Sentence: 18,executing,I-Responsibilities,,
,,,,
Sentence: 19,test,B-Skills,,
,,,,
Sentence: 20,cases,I-Skills,,
,,,,
Sentence: 21,identifying,B-Responsibilities,,
,,,,
Sentence: 22,defects,I-Skills,,
,,,,
Sentence: 23,and,O,,
,,,,
Sentence: 24,reporting,B-Responsibilities,,
,,,,
Sentence: 25,issues,I-Responsibilities,,
,,,,
Sentence: 26,to,O,,
,,,,
Sentence: 27,developers,O,,
,,,,
Sentence: 28,They,O,,
,,,,
Sentence: 29,play,B-Responsibilities,,
,,,,
Sentence: 30,a,O,,
,,,,
Sentence: 31,critical,B-Quality,,
,,,,
Sentence: 32,role,O,,
,,,,
Sentence: 33,in,O,,
,,,,
Sentence: 34,ensuring,B-Responsibilities,,
,,,,
Sentence: 35,software,B-Skills,,
,,,,
Sentence: 36,reliability,I-Skills,,
,,,,
Sentence: 37,and,O,,
,,,,
Sentence: 38,functionality,I-Skills,,
,,,,
Sentence: 1,Systems,B-Designation,,
,,,,
Sentence: 2,Analyst,I-Designation,,
,,,,
Sentence: 3,Business,B-Designation,,
,,,,
Sentence: 4,Systems,I-Designation,,
,,,,
Sentence: 5,Analyst,I-Designation,,
,,,,
Sentence: 6,A,O,,
,,,,
Sentence: 7,Business,B-Designation,,
,,,,
Sentence: 8,Systems,I-Designation,,
,,,,
Sentence: 9,Analyst,I-Designation,,
,,,,
Sentence: 10,analyzes,B-Responsibilities,,
,,,,
Sentence: 11,business,I-Skills,,
,,,,
Sentence: 12,processes,I-Skills,,
,,,,
Sentence: 13,and,O,,
,,,,
Sentence: 14,requirements,I-Skills,,
,,,,
Sentence: 15,recommends,B-Responsibilities,,
,,,,
Sentence: 16,technology,I-Skills,,
,,,,
Sentence: 17,solutions,I-Skills,,
,,,,
Sentence: 18,and,O,,
,,,,
Sentence: 19,bridges,B-Responsibilities,,
,,,,
Sentence: 20,the,O,,
,,,,
Sentence: 21,gap,O,,
,,,,
Sentence: 22,between,O,,
,,,,
Sentence: 23,business,I-Skills,,
,,,,
Sentence: 24,objectives,I-Skills,,
,,,,
Sentence: 25,and,O,,
,,,,
Sentence: 26,IT,B-Skills,,
,,,,
Sentence: 27,systems,I-Skills,,
,,,,
Sentence: 1,Interior,B-Designation,,
,,,,
Sentence: 2,Designer,I-Designation,,
,,,,
Sentence: 3,Commercial,B-Designation,,
,,,,
Sentence: 4,Interior,I-Designation,,
,,,,
Sentence: 5,Designer,I-Designation,,
,,,,
Sentence: 6,A,O,,
,,,,
Sentence: 7,Commercial,B-Designation,,
,,,,
Sentence: 8,Interior,I-Designation,,
,,,,
Sentence: 9,Designer,I-Designation,,
,,,,
Sentence: 10,focuses,B-Responsibilities,,
,,,,
Sentence: 11,on,O,,
,,,,
Sentence: 12,designing,B-Responsibilities,,
,,,,
Sentence: 13,interior,B-Skills,,
,,,,
Sentence: 14,spaces,I-Skills,,
,,,,
Sentence: 15,for,O,,
,,,,
Sentence: 16,businesses,I-Skills,,
,,,,
Sentence: 17,and,O,,
,,,,
Sentence: 18,commercial,I-Skills,,
,,,,
Sentence: 19,properties,I-Skills,,
,,,,
Sentence: 20,They,O,,
,,,,
Sentence: 21,optimize,B-Responsibilities,,
,,,,
Sentence: 22,layouts,I-Responsibilities,,
,,,,
Sentence: 23,for,O,,
,,,,
Sentence: 24,productivity,I-Skills,,
,,,,
Sentence: 25,and,O,,
,,,,
Sentence: 26,aesthetics,I-Skills,,
,,,,
Sentence: 1,Marketing,B-Designation,,
,,,,
Sentence: 2,Analyst,I-Designation,,
,,,,
Sentence: 3,Data,B-Designation,,
,,,,
Sentence: 4,Analyst,I-Designation,,
,,,,
Sentence: 5,Analyze,B-Responsibilities,,
,,,,
Sentence: 6,data,B-Skills,,
,,,,
Sentence: 7,sets,I-Skills,,
,,,,
Sentence: 8,generate,B-Responsibilities,,
,,,,
Sentence: 9,insights,I-Skills,,
,,,,
Sentence: 10,and,O,,
,,,,
Sentence: 11,provide,B-Responsibilities,,
,,,,
Sentence: 12,data-driven,I-Skills,,
,,,,
Sentence: 13,recommendations,I-Skills,,
,,,,
Sentence: 14,to,O,,
,,,,
Sentence: 15,inform,B-Responsibilities,,
,,,,
Sentence: 16,business,I-Skills,,
,,,,
Sentence: 17,decisions,I-Skills,,
,,,,
Sentence: 1,QA,B-Designation,,
,,,,
Sentence: 2,Analyst,I-Designation,,
,,,,
Sentence: 3,Automation,B-Designation,,
,,,,
Sentence: 4,Test,I-Designation,,
,,,,
Sentence: 5,Engineer,I-Designation,,
,,,,
Sentence: 6,Automation,B-Designation,,
,,,,
Sentence: 7,Test,I-Designation,,
,,,,
Sentence: 8,Engineers,I-Designation,,
,,,,
Sentence: 9,develop,B-Responsibilities,,
,,,,
Sentence: 10,automated,B-Skills,,
,,,,
Sentence: 11,test,B-Skills,,
,,,,
